Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1719786264.3465483,5964,1719786264,374284000,world,-1.8013152282437372,-1.6223508338899555,1.2974627550022457,0.23315568436274134,0.5410101661225406,0.7449518588351101,0.3130385839150139
1719786264.356584,5965,1719786264,385127000,world,-1.852936858123391,-1.559001544095004,1.2995872925472958,0.240557890251299,0.5386241610364734,0.739183814325425,0.3249972357188824
1719786264.3664935,5966,1719786264,394526000,world,-1.901983274055215,-1.4949519368428914,1.3016311303823138,0.24784159577878712,0.5355671266004467,0.7347045404565428,0.3345917430829785
1719786264.37625,5967,1719786264,404893000,world,-1.9485438024076425,-1.4285759047571636,1.3034518758671114,0.25492010344561206,0.533893302290041,0.7273197540873396,0.3478213017390471
1719786264.3862665,5968,1719786264,415708000,world,-1.992968972260609,-1.3612669678189957,1.3052199935002513,0.2611310462956715,0.5307008756811319,0.7217348416710535,0.35953577781615403
1719786264.396611,5969,1719786264,424174000,world,-2.0350052670445735,-1.292607847341686,1.3067942184477852,0.26691581971100464,0.5260281646037045,0.7163917967448569,0.3726031518765456
1719786264.4063907,5970,1719786264,434788000,world,-2.0746438591408847,-1.2227859444336848,1.3083137198107437,0.2725887284525925,0.522356553280357,0.710597585787206,0.38456480265237347
1719786264.4171956,5971,1719786264,445013000,world,-2.112035473984287,-1.1517156482257986,1.3098547071302586,0.2778843184585804,0.5189110302504826,0.7054388406392998,0.3948008236524765
1719786264.4262328,5972,1719786264,454217000,world,-2.1468944023180354,-1.079587473221924,1.3112621638924602,0.28377643716070494,0.5145461915933339,0.6999117214792219,0.4060009021728461
1719786264.4366572,5973,1719786264,464410000,world,-2.1794373238481572,-1.0066603676769392,1.3124576148571807,0.2881579040362843,0.5106214543333771,0.6946321847182861,0.4167935708109993
1719786264.4464588,5974,1719786264,474629000,world,-2.2094069820986078,-0.9326872224106469,1.313663012020491,0.29342976162276707,0.5057281168524113,0.6892656459267258,0.4278444999811657
1719786264.4567096,5975,1719786264,485038000,world,-2.2369635807380703,-0.8578366481315415,1.3147004393769472,0.298261177243287,0.5010149211058355,0.6838135778562695,0.43866081397609463
1719786264.4663608,5976,1719786264,495238000,world,-2.2620173097882175,-0.7821553552228664,1.3156400566212698,0.3035852702596421,0.4965117080809142,0.6777251217394478,0.4494449541191933
1719786264.4764316,5977,1719786264,504203000,world,-2.2845990686212088,-0.7057153748392009,1.3164985958739994,0.30857027376435336,0.4916358658787349,0.6718610725909816,0.46008831833415914
1719786264.486741,5978,1719786264,514368000,world,-2.3047204072715,-0.628838420337664,1.3171211527655635,0.31426072958006723,0.4854375446072795,0.6660384163481267,0.4711511562948126
1719786264.4961944,5979,1719786264,528967000,world,-2.322054278404834,-0.551592376684366,1.3176469777342108,0.3203977408200039,0.4798821068571284,0.6595249624842457,0.48175229636811834
1719786264.5062501,5980,1719786264,538407000,world,-2.3369412725104377,-0.4735562463438152,1.3183669545385244,0.32602528800982544,0.47399331120373395,0.6531385413181338,0.4923899860446505
1719786264.5165298,5981,1719786264,546503000,world,-2.349270696943137,-0.3951887194814338,1.3190340666729004,0.33155884185063417,0.4678649449603483,0.6464480420394508,0.5032653938145132
1719786264.5266545,5982,1719786264,555203000,world,-2.359056742312802,-0.31640813086738706,1.3197674460053985,0.337376362068693,0.4612083950531856,0.6395488757492004,0.5142385070934428
1719786264.5365736,5983,1719786264,564549000,world,-2.3662348556994997,-0.23757920990822015,1.3202895023828347,0.34329414461269964,0.4553782585934951,0.6325496157905671,0.5240808672697341
1719786264.5464494,5984,1719786264,574633000,world,-2.370862405799091,-0.15847230313761676,1.320820466316623,0.34956934214495394,0.44879976038444,0.6249532536746709,0.5346152643094434
1719786264.556747,5985,1719786264,585128000,world,-2.372939975094995,-0.07923028389554054,1.3214098991454426,0.35521208604997934,0.44158312727855564,0.6179016768922195,0.5450011314857027
1719786264.5664675,5986,1719786264,594263000,world,-2.3725082792633594,-9.76571897445817e-05,1.3221602509001225,0.36045977057688755,0.43375895622351657,0.6108790666099891,0.5556515883800314
1719786264.5764198,5987,1719786264,604952000,world,-2.3694398299328845,0.07918635455371979,1.32269136114102,0.3673893887316009,0.4263229264222014,0.6030348605834375,0.5653518872130395
1719786264.5862556,5988,1719786264,618899000,world,-2.3638041340107088,0.15827242367903774,1.3234284025024186,0.3724265481952576,0.4212514554023363,0.5944304185246079,0.5748896894652384
1719786264.5967062,5989,1719786264,628021000,world,-2.3551991016972744,0.23724875746347807,1.3246987443988187,0.38074864417584514,0.41581067163656327,0.5825123207685808,0.5855009406176972
1719786264.606355,5990,1719786264,636082000,world,-2.344556793199172,0.31576324791920346,1.3252230520116508,0.38705029139918234,0.4071812157718816,0.5735270708392306,0.5962065317194307
